digitSpan,digits_audio,EgnerDSrt,EgnerDSscore,participant,group
6,396172,4.8019,1,882,CAB
7,8241973,4.0845,1,882,CAB
8,53827164,10.017,1,882,CAB
9,682594316,9.5007,1,882,CAB
2,46,1.8145,1,885,ABC
3,157,1.0487,1,885,ABC
4,6352,1.0993,1,885,ABC
5,59281,1.5325,1,885,ABC
6,396172,1.6017,1,885,ABC
7,8241973,3.6654,1,885,ABC
8,53827164,4.1659,1,885,ABC
9,682594316,5.3482,1,885,ABC
2,46,2.0987,1,887,CBA
3,157,1.3327,1,887,CBA
4,6352,2.167,1,887,CBA
5,59281,5.4656,1,887,CBA
6,396172,8.501,1,887,CBA
7,8241973,8.2996,0,887,CBA
7,2814367,6.8664,1,887,CBA
8,53827164,23.8162,0,887,CBA
8,75241739,10.3494,1,887,CBA
9,682594316,13.3337,0,887,CBA
9,142963758,9.7995,0,887,CBA
2,46,1.9642,1,888,CAB
3,157,2.3154,1,888,CAB
4,6352,1.1327,1,888,CAB
5,59281,2.0151,1,888,CAB
6,396172,1.5993,0,888,CAB
6,594631,4.0826,1,888,CAB
7,8241973,5.4826,1,888,CAB
8,53827164,7.9483,0,888,CAB
8,75241739,7.3657,0,888,CAB
2,46,1.2447,1,889,BAC
3,157,1.033,1,889,BAC
4,6352,1.5838,1,889,BAC
5,59281,1.9492,1,889,BAC
6,396172,3.3159,1,889,BAC
7,8241973,3.3325,1,889,BAC
8,53827164,4.3197,0,889,BAC
8,75241739,13.171,1,889,BAC
9,682594316,5.3192,0,889,BAC
9,142963758,15.9575,0,889,BAC
2,46,1.7826,1,892,ABC
3,157,2.5022,1,892,ABC
4,6352,2.0306,1,892,ABC
5,59281,3.1118,1,892,ABC
6,396172,3.3616,1,892,ABC
7,8241973,5.7103,1,892,ABC
8,53827164,8.575,1,892,ABC
9,682594316,6.8607,0,892,ABC
9,142963758,6.9939,1,892,ABC
2,46,1.0156,1,895,BAC
3,157,1.4515,1,895,BAC
4,6352,1.9501,1,895,BAC
5,59281,2.748,1,895,BAC
6,396172,4.6176,1,895,BAC
7,8241973,3.6486,1,895,BAC
8,53827164,5.3308,0,895,BAC
8,75241739,10.6774,0,895,BAC
2,46,2.2986,1,896,BCA
3,157,2.1996000000000002,1,896,BCA
4,6352,2.8341,1,896,BCA
5,59281,3.7828,1,896,BCA
6,396172,4.4647,1,896,BCA
7,8241973,5.7157,1,896,BCA
8,53827164,5.9483,0,896,BCA
8,75241739,8.8335,0,896,BCA
2,46,1.3981,1,897,ACB
3,157,1.6966,1,897,ACB
4,6352,2.0145,1,897,ACB
5,59281,2.6801,1,897,ACB
6,396172,3.7463,1,897,ACB
7,8241973,7.8253,1,897,ACB
8,53827164,4.9617000000000004,0,897,ACB
8,75241739,6.4268,1,897,ACB
9,682594316,19.263,0,897,ACB
9,142963758,6.9433,0,897,ACB
2,46,2.199815,1,901,BAC
3,157,1.251775,1,901,BAC
4,6352,1.701595,1,901,BAC
5,59281,2.88839,1,901,BAC
6,396172,2.902955,1,901,BAC
7,8241973,2.97151,1,901,BAC
8,53827164,11.8945,0,901,BAC
8,75241739,34.2039,0,901,BAC
2,46,1.1654,1,902,BCA
3,157,1.666,1,902,BCA
4,6352,1.5828,1,902,BCA
5,59281,1.566,1,902,BCA
6,396172,9.515,0,902,BCA
6,594631,3.0158,0,902,BCA
2,46,1.946875,1,908,ABC
3,157,1.29806,1,908,ABC
4,6352,2.16421,1,908,ABC
5,59281,3.52988,1,908,ABC
6,396172,4.54548,1,908,ABC
7,8241973,6.825845,1,908,ABC
8,53827164,5.84341,1,908,ABC
9,682594316,8.8576,0,908,ABC
9,142963758,8.1752300000000009,0,908,ABC
2,46,1.26818,1,914,BCA
NA,157,1.08315,1,914,BCA
4,6352,1.752675,1,914,BCA
5,59281,2.02004,1,914,BCA
6,396172,6.175555,1,914,BCA
7,8241973,7.228825,0,914,BCA
7,2814367,8.232165,1,914,BCA
8,53827164,6.98051,0,914,BCA
8,75241739,5.72643,0,914,BCA
2,46,1.67546,1,916,ABC
NA,157,1.59808,1,916,ABC
4,6352,3.13145,1,916,ABC
5,59281,10.746375,1,916,ABC
6,396172,8.180405,0,916,ABC
6,594631,5.31343,0,916,ABC
2,46,1.38496,1,917,CBA
NA,157,2.083005,1,917,CBA
4,6352,2.433755,1,917,CBA
5,59281,3.549295,1,917,CBA
6,396172,4.449565,1,917,CBA
7,8241973,7.383705,0,917,CBA
7,2814367,11.13313,0,917,CBA
2,46,1.566225,1,918,CAB
3,157,1.88323,1,918,CAB
4,6352,1.81653,1,918,CAB
5,59281,2.016525,1,918,CAB
6,396172,2.9165,1,918,CAB
7,8241973,13.632825,0,918,CAB
7,2814367,4.64987,1,918,CAB
8,53827164,8.38301,1,918,CAB
9,682594316,12.566215,0,918,CAB
9,142963758,33.081705,1,918,CAB
2,46,1.481475,1,919,BAC
NA,157,1.915935,1,919,BAC
4,6352,2.117235,1,919,BAC
5,59281,3.03323,1,919,BAC
6,396172,4.18235,1,919,BAC
7,8241973,4.516325,1,919,BAC
8,53827164,8.18404,0,919,BAC
8,75241739,7.649335,0,919,BAC
2,46,1.68041,1,920,BCA
3,157,1.59885,1,920,BCA
4,6352,2.16521,1,920,BCA
5,59281,2.231775,1,920,BCA
6,396172,13.09474,0,920,BCA
6,594631,4.58022,0,920,BCA
2,46,1.54661,1,922,ABC
NA,157,1.36497,1,922,ABC
4,6352,1.881005,1,922,ABC
5,59281,1.91443,1,922,ABC
6,396172,3.579335,1,922,ABC
7,8241973,4.528385,1,922,ABC
8,53827164,7.14243,1,922,ABC
9,682594316,10.83864,0,922,ABC
9,142963758,5.394055,1,922,ABC
2,46,1.99804,1,925,BAC
3,157,2.20872,1,925,BAC
4,6352,2.597725,1,925,BAC
5,59281,4.4969,1,925,BAC
6,396172,4.83001,1,925,BAC
7,8241973,5.752535,0,925,BAC
7,2814367,10.385555,0,925,BAC
2,46,1.515435,1,927,ACB
NA,157,1.18297,1,927,ACB
4,6352,1.349535,1,927,ACB
5,59281,2.34815,1,927,ACB
6,396172,1.61605,1,927,ACB
7,8241973,4.316,0,927,ACB
7,2814367,6.219255,1,927,ACB
8,53827164,36.930505,0,927,ACB
8,75241739,16.14848,0,927,ACB
2,46,1.34852,1,928,ABC
NA,157,1.799555,1,928,ABC
4,6352,1.39993,1,928,ABC
5,59281,2.68312,1,928,ABC
6,396172,1.34951,0,928,ABC
6,594631,4.932675,1,928,ABC
7,8241973,13.316105,0,928,ABC
7,2814367,5.66696,0,928,ABC
2,46,2.58919,1,929,CBA
3,157,1.988515,1,929,CBA
4,6352,1.936905,1,929,CBA
5,59281,2.372655,1,929,CBA
6,396172,3.90982,1,929,CBA
7,8241973,4.513695,0,929,CBA
7,2814367,5.999175,1,929,CBA
8,53827164,4.177875,0,929,CBA
8,75241739,5.416285,0,929,CBA
2,46,2.0804,1,930,CAB
3,157,1.0661,1,930,CAB
4,6352,2.068,1,930,CAB
5,59281,4.5178,0,930,CAB
5,64738,3.3546,1,930,CAB
6,396172,5.6647,1,930,CAB
7,8241973,6.0642,1,930,CAB
8,53827164,10.5646,1,930,CAB
9,682594316,9.1472,1,930,CAB
2,46,2.0438,1,931,BAC
3,157,1.3467,1,931,BAC
4,6352,1.6654,1,931,BAC
5,59281,2.1616,1,931,BAC
6,396172,3.414,1,931,BAC
7,8241973,2.9261,1,931,BAC
8,53827164,7.2528,0,931,BAC
8,75241739,6.1067,1,931,BAC
9,682594316,7.3384,0,931,BAC
9,142963758,11.4009,0,931,BAC
2,46,2.69729,1,932,BCA
NA,157,1.69874,1,932,BCA
4,6352,1.893685,1,932,BCA
5,59281,1.87847,1,932,BCA
6,396172,2.7699,1,932,BCA
7,8241973,4.60356,1,932,BCA
8,53827164,5.64399,1,932,BCA
9,682594316,5.419165,0,932,BCA
9,142963758,12.748615,0,932,BCA
2,46,1.42989,1,936,CAB
NA,157,1.568635,1,936,CAB
4,6352,1.53297,1,936,CAB
5,59281,2.316345,1,936,CAB
6,396172,6.66257,1,936,CAB
7,8241973,3.06428,1,936,CAB
8,53827164,5.546595,0,936,CAB
8,75241739,6.196205,0,936,CAB
2,46,1.604375,1,938,BCA
NA,157,1.48147,1,938,BCA
4,6352,1.70366,1,938,BCA
5,59281,2.0822,1,938,BCA
6,396172,7.75026,1,938,BCA
7,8241973,5.601065,0,938,BCA
7,2814367,5.36679,1,938,BCA
8,53827164,8.727705,1,938,BCA
9,682594316,5.744875,0,938,BCA
9,142963758,8.63816,0,938,BCA
2,46,2.13226,1,940,ABC
3,157,2.833325,1,940,ABC
4,6352,3.49967,1,940,ABC
5,59281,5.183275,1,940,ABC
6,396172,8.116585,0,940,ABC
6,594631,19.89988,0,940,ABC
2,46,1.89917,1,941,CBA
NA,157,1.664355,1,941,CBA
4,6352,2.51424,1,941,CBA
5,59281,2.94915,1,941,CBA
6,396172,2.73166,1,941,CBA
7,8241973,5.24869,1,941,CBA
8,53827164,8.04748,0,941,CBA
8,75241739,6.51477,0,941,CBA
2,46,1.415855,1,942,CAB
NA,157,1.066215,1,942,CAB
4,6352,1.833245,1,942,CAB
5,59281,1.733315,1,942,CAB
6,396172,3.50002,0,942,CAB
6,594631,3.19987,1,942,CAB
7,8241973,11.69969,0,942,CAB
7,2814367,4.09973,1,942,CAB
8,53827164,9.9,0,942,CAB
8,75241739,9.81637,1,942,CAB
9,682594316,6.548935,0,942,CAB
9,142963758,9.582295,0,942,CAB
2,46,2.149655,1,943,BAC
NA,157,1.332895,1,943,BAC
4,6352,2.399275,1,943,BAC
5,59281,2.999605,1,943,BAC
6,396172,2.768735,1,943,BAC
7,8241973,5.28104,0,943,BAC
7,2814367,6.651455,0,943,BAC
2,46,1.05035,1,945,ACB
NA,157,1.232525,1,945,ACB
4,6352,1.64974,1,945,ACB
5,59281,1.74987,1,945,ACB
6,396172,3.7162,1,945,ACB
7,8241973,3.233715,1,945,ACB
8,53827164,7.63379,1,945,ACB
9,682594316,6.266165,0,945,ACB
9,142963758,9.932335,0,945,ACB
2,46,2.0136,1,947,CBA
3,157,2.564,1,947,CBA
4,6352,2.4805,1,947,CBA
5,59281,3.4463,1,947,CBA
6,396172,3.9793,1,947,CBA
7,8241973,5.4113,1,947,CBA
8,53827164,5.2786,1,947,CBA
9,682594316,11.0891,0,947,CBA
9,142963758,6.7439,1,947,CBA
2,46,1.27941,1,948,CAB
NA,157,1.299245,1,948,CAB
4,6352,2.23138,1,948,CAB
5,59281,2.732785,1,948,CAB
6,396172,6.06687,1,948,CAB
7,8241973,5.89958,1,948,CAB
8,53827164,5.500645,1,948,CAB
9,682594316,6.718075,0,948,CAB
9,142963758,9.100265,0,948,CAB
2,46,1.33219,1,949,BAC
NA,157,1.0995,1,949,BAC
4,6352,1.566635,1,949,BAC
5,59281,1.933515,1,949,BAC
6,396172,2.666885,1,949,BAC
7,8241973,5.51901,0,949,BAC
7,2814367,3.45132,1,949,BAC
8,53827164,3.751455,1,949,BAC
9,682594316,8.687065,0,949,BAC
9,142963758,7.40401,1,949,BAC
2,46,1.904365,1,950,BCA
NA,157,2.407715,1,950,BCA
4,6352,1.287515,1,950,BCA
5,59281,1.48825,1,950,BCA
6,396172,2.39076,1,950,BCA
7,8241973,3.56179,1,950,BCA
8,53827164,11.62027,1,950,BCA
9,682594316,8.979705,0,950,BCA
9,142963758,12.708135,0,950,BCA
2,46,2.09722,1,951,ACB
NA,157,1.94795,1,951,ACB
4,6352,2.262775,1,951,ACB
5,59281,3.227505,1,951,ACB
6,396172,6.324855,0,951,ACB
6,594631,3.863835,1,951,ACB
7,8241973,5.26169,0,951,ACB
7,2814367,5.64335,1,951,ACB
8,53827164,8.239445,1,951,ACB
9,682594316,7.95775,0,951,ACB
9,142963758,5.96032,0,951,ACB
2,46,1.497605,1,952,ABC
NA,157,1.265275,1,952,ABC
4,6352,2.332055,1,952,ABC
5,59281,2.98172,1,952,ABC
6,396172,4.48114,1,952,ABC
7,8241973,5.048135,1,952,ABC
8,53827164,6.69756,1,952,ABC
9,682594316,5.731425,0,952,ABC
9,142963758,6.99733,0,952,ABC
2,46,2.2671,1,953,CBA
3,157,2.66421,1,953,CBA
4,6352,1.931915,1,953,CBA
5,59281,2.86341,1,953,CBA
6,396172,4.497245,1,953,CBA
7,8241973,12.063165,0,953,CBA
7,2814367,4.148375,1,953,CBA
8,53827164,5.832775,0,953,CBA
8,75241739,15.6147,0,953,CBA
2,46,1.3636,1,954,CAB
3,157,1.6648,1,954,CAB
4,6352,3.2815,1,954,CAB
5,59281,2.4647,1,954,CAB
6,396172,3.1317,1,954,CAB
7,8241973,4.0803,1,954,CAB
8,53827164,12.5955,1,954,CAB
9,682594316,8.5464,0,954,CAB
9,142963758,8.7302,0,954,CAB
2,46,1.718365,1,956,BCA
NA,157,2.0864,1,956,BCA
4,6352,2.60344,1,956,BCA
5,59281,3.33819,1,956,BCA
6,396172,5.15776,1,956,BCA
7,8241973,8.87985,1,956,BCA
8,53827164,13.603885,0,956,BCA
8,75241739,17.209375,0,956,BCA
2,46,1.090415,1,957,ACB
NA,157,1.50828,1,957,ACB
4,6352,1.4663,1,957,ACB
5,59281,2.283,1,957,ACB
6,396172,3.583095,0,957,ACB
6,594631,13.38284,1,957,ACB
7,8241973,5.57491,1,957,ACB
8,53827164,4.233335,0,957,ACB
8,75241739,6.1329650000000004,1,957,ACB
9,682594316,21.99747,0,957,ACB
9,142963758,11.13468,0,957,ACB
2,46,1.81562,1,959,CBA
NA,157,1.550405,1,959,CBA
4,6352,2.01622,1,959,CBA
5,59281,3.34949,1,959,CBA
6,396172,2.74888,1,959,CBA
7,8241973,4.849255,0,959,CBA
7,2814367,6.248945,0,959,CBA
2,46,1.58277,1,960,CAB
NA,157,1.76674,1,960,CAB
4,6352,1.54985,1,960,CAB
5,59281,2.083105,1,960,CAB
6,396172,2.53317,1,960,CAB
7,8241973,3.116175,1,960,CAB
8,53827164,4.049615,1,960,CAB
9,682594316,6.74944,1,960,CAB
2,46,2.016385,1,961,BAC
NA,157,1.41704,1,961,BAC
4,6352,1.266655,1,961,BAC
5,59281,1.566505,1,961,BAC
6,396172,3.468275,1,961,BAC
7,8241973,3.199785,1,961,BAC
8,53827164,5.183735,0,961,BAC
8,75241739,4.41469,1,961,BAC
9,682594316,4.183435,0,961,BAC
9,142963758,5.663505,0,961,BAC
2,46,1.94703,1,963,ACB
NA,157,2.048965,1,963,ACB
4,6352,2.99709,1,963,ACB
5,59281,3.06455,1,963,ACB
6,396172,3.864185,0,963,ACB
6,594631,3.81433,1,963,ACB
7,8241973,6.49512,0,963,ACB
7,2814367,3.659875,1,963,ACB
8,53827164,10.158315,0,963,ACB
8,75241739,6.0505,0,963,ACB
2,46,1.4577,1,964,ABC
3,157,1.4983,1,964,ABC
4,6352,1.4653,1,964,ABC
5,59281,2.8482,1,964,ABC
6,396172,6.9979,0,964,ABC
6,594631,3.9202,1,964,ABC
7,8241973,4.9326,0,964,ABC
7,2814367,3.7655,1,964,ABC
8,53827164,5.1317,0,964,ABC
8,75241739,7.9706,0,964,ABC
2,46,1.430405,1,965,CBA
NA,157,2.13207,1,965,CBA
4,6352,1.682255,1,965,CBA
5,59281,2.048445,1,965,CBA
6,396172,4.13069,1,965,CBA
7,8241973,4.74726,1,965,CBA
8,53827164,6.945805,1,965,CBA
9,682594316,5.24711,0,965,CBA
9,142963758,4.297515,0,965,CBA
2,46,1.941405,1,968,BCA
NA,157,1.333895,1,968,BCA
4,6352,1.85171,1,968,BCA
5,59281,2.55288,1,968,BCA
6,396172,3.443925,1,968,BCA
7,8241973,4.23735,1,968,BCA
8,53827164,5.037275,1,968,BCA
9,682594316,7.179485,1,968,BCA
2,46,1.36476,1,969,ACB
NA,157,3.129515,1,969,ACB
4,6352,2.148095,1,969,ACB
5,59281,3.56281,1,969,ACB
6,396172,5.078225,1,969,ACB
7,8241973,6.792875,0,969,ACB
7,2814367,6.710245,1,969,ACB
8,53827164,4.795105,0,969,ACB
8,75241739,9.12419,0,969,ACB
2,46,2.39906,1,971,CBA
NA,157,2.29908,1,971,CBA
4,6352,3.582725,1,971,CBA
5,59281,4.199095,1,971,CBA
6,396172,8.38104,1,971,CBA
7,8241973,7.064665,1,971,CBA
8,53827164,8.614245,0,971,CBA
8,75241739,6.815145,1,971,CBA
9,682594316,6.214435,0,971,CBA
9,142963758,8.347695,0,971,CBA
2,46,2.080265,1,974,BCA
NA,157,1.7982,1,974,BCA
4,6352,3.36329,1,974,BCA
5,59281,2.746795,1,974,BCA
6,396172,2.797065,1,974,BCA
7,8241973,18.231985,1,974,BCA
8,53827164,5.51106,1,974,BCA
9,682594316,9.32621,1,974,BCA
2,46,1.36588,1,976,ABC
NA,157,1.44879,1,976,ABC
4,6352,2.201185,1,976,ABC
5,59281,1.83262,1,976,ABC
6,396172,3.11669,1,976,ABC
7,8241973,6.44993,0,976,ABC
7,2814367,7.284125,0,976,ABC
2,46,2.366075,1,977,CBA
NA,157,2.649765,1,977,CBA
4,6352,3.68362,1,977,CBA
5,59281,4.36615,1,977,CBA
6,396172,6.800545,0,977,CBA
6,594631,5.74975,1,977,CBA
7,8241973,25.41651,0,977,CBA
7,2814367,20.39965,0,977,CBA
2,46,1.206605,0,979,BAC
2,82,0.84447,0,979,BAC
2,46,1.44915,1,980,BCA
NA,157,1.48348,1,980,BCA
4,6352,2.317015,1,980,BCA
5,59281,3.28322,1,980,BCA
6,396172,8.650245,0,980,BCA
6,594631,3.616455,1,980,BCA
7,8241973,6.48299,0,980,BCA
7,2814367,4.849615,0,980,BCA
2,46,1.299015,1,982,ABC
NA,157,1.01667,1,982,ABC
4,6352,1.483045,1,982,ABC
5,59281,2.167815,1,982,ABC
6,396172,3.33313,1,982,ABC
7,8241973,4.38282,1,982,ABC
8,53827164,4.18308,1,982,ABC
9,682594316,6.75098,1,982,ABC
2,46,2.09018,1,983,CBA
NA,157,1.875995,1,983,CBA
4,6352,1.694145,1,983,CBA
5,59281,2.508195,1,983,CBA
6,396172,2.68959,1,983,CBA
7,8241973,4.28437,1,983,CBA
8,53827164,11.97446,1,983,CBA
9,682594316,9.466685,0,983,CBA
9,142963758,8.236025,0,983,CBA
2,46,1.53101,1,984,CAB
NA,157,1.500995,1,984,CAB
4,6352,2.101085,1,984,CAB
5,59281,2.39737,1,984,CAB
6,396172,2.431195,1,984,CAB
7,8241973,3.19928,1,984,CAB
8,53827164,4.860385,1,984,CAB
9,682594316,6.724845,1,984,CAB
2,46,2.213245,1,986,BCA
NA,157,1.731795,1,986,BCA
4,6352,2.21475,1,986,BCA
5,59281,2.548475,1,986,BCA
6,396172,5.562725,1,986,BCA
7,8241973,4.696845,1,986,BCA
8,53827164,3.364095,1,986,BCA
9,682594316,8.59425,1,986,BCA
2,46,1.808,1,987,ACB
NA,157,1.618,1,987,ACB
4,6352,1.529,1,987,ACB
5,59281,2.766,1,987,ACB
2,46,2.36381,1,988,ABC
NA,157,1.09908,1,988,ABC
4,6352,2.482925,1,988,ABC
5,59281,2.367155,1,988,ABC
6,396172,9.648855,1,988,ABC
7,8241973,7.248175,1,988,ABC
8,53827164,8.84841,0,988,ABC
8,75241739,9.014795,0,988,ABC
2,46,1.69877,1,989,CBA
NA,157,1.58236,1,989,CBA
4,6352,2.599435,1,989,CBA
5,59281,2.8997,1,989,CBA
6,396172,4.61616,1,989,CBA
7,8241973,3.94893,0,989,CBA
7,2814367,13.567145,0,989,CBA
2,46,1.4469,1,990,CAB
NA,157,1.681825,1,990,CAB
4,6352,1.74899,1,990,CAB
5,59281,2.364735,1,990,CAB
6,396172,1.965295,1,990,CAB
7,8241973,8.395055,1,990,CAB
8,53827164,14.394095,0,990,CAB
8,75241739,11.61204,0,990,CAB
2,46,1.532485,1,991,BAC
NA,157,2.184195,1,991,BAC
4,6352,2.58325,1,991,BAC
5,59281,3.550695,1,991,BAC
6,396172,3.751825,1,991,BAC
7,8241973,4.187175,1,991,BAC
8,53827164,6.36876,1,991,BAC
9,682594316,6.68475,1,991,BAC
2,46,0.99742,1,992,BCA
NA,157,0.88253,1,992,BCA
4,6352,1.099265,1,992,BCA
5,59281,1.41177,1,992,BCA
6,396172,2.68196,1,992,BCA
7,8241973,3.54818,1,992,BCA
8,53827164,4.41448,1,992,BCA
9,682594316,6.34683,1,992,BCA
2,46,2.179305,1,9935,ACB
NA,157,2.14939,1,9935,ACB
4,6352,2.51524,1,9935,ACB
5,59281,3.681515,1,9935,ACB
6,396172,5.79852,0,9935,ACB
6,594631,5.365465,1,9935,ACB
7,8241973,5.615305,0,9935,ACB
7,2814367,11.8985,0,9935,ACB
2,46,1.56599,1,994,ABC
NA,157,1.73304,1,994,ABC
4,6352,1.649855,1,994,ABC
5,59281,2.154275,1,994,ABC
6,396172,2.788,1,994,ABC
7,8241973,5.950025,1,994,ABC
8,53827164,8.07075,0,994,ABC
8,75241739,12.49096,0,994,ABC
2,46,1.580415,1,995,CBA
NA,157,1.93246,1,995,CBA
4,6352,1.56537,1,995,CBA
5,59281,2.4486,1,995,CBA
6,396172,4.9825,1,995,CBA
7,8241973,3.23262,0,995,CBA
7,2814367,7.098505,0,995,CBA
2,46,1.79978,1,996,CAB
NA,157,1.58381,1,996,CAB
4,6352,2.249955,1,996,CAB
5,59281,2.434095,1,996,CAB
6,396172,4.09906,1,996,CAB
7,8241973,3.86488,1,996,CAB
8,53827164,7.24935,0,996,CAB
8,75241739,11.59884,0,996,CAB
2,46,1.395125,1,997,BAC
NA,157,1.52778,1,997,BAC
4,6352,3.249805,1,997,BAC
5,59281,2.229005,1,997,BAC
6,396172,2.74994,1,997,BAC
7,8241973,3.81976,1,997,BAC
8,53827164,5.861275,1,997,BAC
9,682594316,4.277675,1,997,BAC
2,46,0.99833,1,998,BCA
NA,157,0.98294,1,998,BCA
4,6352,1.682885,1,998,BCA
5,59281,2.333335,1,998,BCA
6,396172,3.21642,1,998,BCA
7,8241973,5.367255,0,998,BCA
7,2814367,3.383605,1,998,BCA
8,53827164,4.21684,0,998,BCA
8,75241739,6.96755,0,998,BCA
2,46,1.19075,1,999,ACB
NA,157,1.632695,1,999,ACB
4,6352,1.61167,1,999,ACB
5,59281,4.21193,1,999,ACB
6,396172,3.51015,0,999,ACB
6,594631,3.05071,1,999,ACB
7,8241973,5.31059,0,999,ACB
7,2814367,4.52291,0,999,ACB
