digitSpanWAIS,WAISDSrt,WAISDSresponse,WAISDSscore,participant,group
4,2.375,7286,1,880,ABC
5,10.532,42717,0,880,ABC
5,3.332,75836,1,880,ABC
6,4.217,39248,0,880,ABC
6,7.766,619473,1,880,ABC
7,5.116,691748,0,880,ABC
7,6.517,4179386,1,880,ABC
8,8.333,38296174,1,880,ABC
9,11.217,28575941,0,880,ABC
9,6.25,39425678,0,880,ABC
2,2.6487,97,1,881,CBA
3,2.8953,582,1,881,CBA
4,3.3311,7286,1,881,CBA
5,3.1357,42731,1,881,CBA
6,4.2291,392487,1,881,CBA
7,6.2272,694728,0,881,CBA
7,8.8774,493786,0,881,CBA
2,4.3661,97,1,882,CAB
3,2.4007,582,1,882,CAB
4,2.367,7286,1,882,CAB
5,3.3667,42731,1,882,CAB
6,5.4324,392487,1,882,CAB
7,7.9339,6917428,1,882,CAB
8,7.8164,38296174,1,882,CAB
9,10.3998,275863194,1,882,CAB
2,2.267,97,1,885,ABC
3,1.75,582,1,885,ABC
4,1.3494,7286,1,885,ABC
5,2.1816,42731,1,885,ABC
6,2.8833,392487,1,885,ABC
7,4.6846,6497128,0,885,ABC
7,5.8484,4179386,1,885,ABC
8,5.6988,38297614,0,885,ABC
8,3.7137,58132467,0,885,ABC
2,2.4147,97,1,887,CBA
3,2.1832,582,1,887,CBA
4,4.2831,7286,1,887,CBA
5,4.549,42731,1,887,CBA
6,9.0163,392487,1,887,CBA
7,10.182,6914728,0,887,CBA
7,21.9166,4179468,0,887,CBA
2,3.7476,97,1,888,CAB
3,2.1487,582,1,888,CAB
4,3.0994,7286,1,888,CAB
5,3.6823,42731,1,888,CAB
6,41.0609,782,0,888,CAB
6,3.8152,619473,1,888,CAB
7,12.7637,68742,0,888,CAB
7,6.6318,61794386,0,888,CAB
2,3.0326,97,1,889,BAC
3,1.665,582,1,889,BAC
4,1.3975,7286,1,889,BAC
5,2.4826,42731,1,889,BAC
6,4.4207,392478,0,889,BAC
6,3.8672,619473,1,889,BAC
7,7.1662,6917428,1,889,BAC
8,9.9876,38296174,1,889,BAC
9,8.3036,27586394,0,889,BAC
9,14.3028,713942568,1,889,BAC
2,3.4426,97,1,892,ABC
3,1.8639,582,1,892,ABC
4,2.2479,7286,1,892,ABC
5,2.3641,42731,1,892,ABC
6,4.4451,392487,1,892,ABC
7,4.6269,6917428,1,892,ABC
8,6.2601,38296174,1,892,ABC
9,7.459,275861394,0,892,ABC
9,8.7258,713925468,0,892,ABC
2,1.945,97,1,895,BAC
3,1.329,582,1,895,BAC
4,1.5002,7286,1,895,BAC
5,3.5329,42731,1,895,BAC
6,4.568,392487,1,895,BAC
7,4.2164,6971428,0,895,BAC
7,6.5336,4179846,0,895,BAC
2,2.8149,97,1,896,BCA
3,2.6663,582,1,896,BCA
4,4.4658,7286,1,896,BCA
5,4.198,42731,1,896,BCA
6,4.2654,392487,1,896,BCA
7,7.5484,6917428,1,896,BCA
8,5.665,38296714,0,896,BCA
8,9.2647,583162974,0,896,BCA
2,4.3622,97,1,897,ACB
3,2.1302,582,1,897,ACB
4,2.8295,7286,1,897,ACB
5,3.0129,42731,1,897,ACB
6,4.5952,392487,1,897,ACB
7,4.8101,6917428,1,897,ACB
8,5.1281,38296174,1,897,ACB
9,7.4259,275863194,1,897,ACB
2,2.28358,97,1,901,BAC
3,1.30166,582,1,901,BAC
4,1.96884,7286,1,901,BAC
5,7.874755,74231,0,901,BAC
5,3.35473,75836,1,901,BAC
6,5.238685,392487,1,901,BAC
7,9.610535,6941728,0,901,BAC
7,10.994765,7491376,0,901,BAC
2,1.8819,97,1,902,BCA
3,1.5161,582,1,902,BCA
4,2.4328,7286,1,902,BCA
5,2.8995,42731,1,902,BCA
6,5.7321,493827,0,902,BCA
6,6.9653,619473,1,902,BCA
7,7.2654,6194728,0,902,BCA
7,4.2987,4197386,0,902,BCA
2,3.744485,97,1,908,ABC
3,2.830525,582,1,908,ABC
4,2.230685,7286,1,908,ABC
5,4.928005,42731,1,908,ABC
6,5.145015,392487,1,908,ABC
7,6.34317,6917428,1,908,ABC
8,8.691055,38297624,0,908,ABC
8,6.459925,58132467,0,908,ABC
2,3.221335,97,1,914,BCA
3,1.48572,582,1,914,BCA
4,2.921655,7286,1,914,BCA
5,1.65273,42731,1,914,BCA
6,2.921685,392487,1,914,BCA
7,4.09029,6917428,1,914,BCA
8,8.99862,3829147,0,914,BCA
8,11.686725,58132647,1,914,BCA
9,1.719715,1233457865,0,914,BCA
9,2.83793,765421,0,914,BCA
2,2.38154,97,1,916,ABC
3,1.748045,582,1,916,ABC
4,2.76472,7286,1,916,ABC
5,5.014265,42731,1,916,ABC
6,6.297065,392487,1,916,ABC
7,8.680255,697428,0,916,ABC
7,11.86365,4917386,0,916,ABC
2,2.134085,97,1,917,CBA
3,2.665775,582,1,917,CBA
4,2.899855,7286,1,917,CBA
5,3.985545,42731,1,917,CBA
6,7.08381,392487,1,917,CBA
7,5.7004,6914728,0,917,CBA
7,12.19934,4179386,1,917,CBA
8,10.438915,3821784,0,917,CBA
8,7.033735,58132487,0,917,CBA
2,1.71617,97,1,918,CAB
3,1.48317,582,1,918,CAB
4,30.53229,7286,1,918,CAB
5,4.06646,42731,1,918,CAB
6,4.716465,392487,1,918,CAB
7,5.86638,7917428,0,918,CAB
7,4.28315,4179386,1,918,CAB
8,9.666285,3829694,0,918,CAB
8,8.016355,58132647,1,918,CAB
9,7.782995,275863194,1,918,CAB
2,3.132125,97,1,919,BAC
3,1.39987,582,1,919,BAC
4,2.665875,7286,1,919,BAC
5,3.58251,42731,1,919,BAC
6,7.699465,394827,0,919,BAC
6,7.63179,6194673,0,919,BAC
2,1.52937,97,1,920,BCA
3,2.231855,582,1,920,BCA
4,2.58122,7286,1,920,BCA
5,3.148575,42731,1,920,BCA
6,4.297955,392487,1,920,BCA
7,4.548155,6974218,0,920,BCA
7,7.063075,49729376,0,920,BCA
2,2.01277,97,1,922,ABC
3,1.981075,582,1,922,ABC
4,1.681045,7286,1,922,ABC
5,1.96413,42731,1,922,ABC
6,5.394205,392487,1,922,ABC
7,4.395035,6117428,0,922,ABC
7,4.16215,4179386,1,922,ABC
8,6.043655,38296174,1,922,ABC
9,6.876005,271863974,0,922,ABC
9,6.060215,713942568,1,922,ABC
2,3.31695,97,1,925,BAC
3,1.80824,582,1,925,BAC
4,2.63758,7286,1,925,BAC
5,3.781425,42731,1,925,BAC
6,5.23216,392487,1,925,BAC
7,6.71481,6917428,1,925,BAC
8,6.56436,39816274,0,925,BAC
8,7.697705,38765427,0,925,BAC
2,2.98323,97,1,927,ACB
3,1.16608,582,1,927,ACB
4,1.949855,7286,1,927,ACB
5,2.617545,42731,1,927,ACB
6,2.399355,392487,1,927,ACB
7,5.349475,6917428,1,927,ACB
8,24.8314,38296174,1,927,ACB
9,6.565965,275863194,1,927,ACB
2,1.89929,97,1,928,ABC
3,1.382325,582,1,928,ABC
4,1.74972,7286,1,928,ABC
5,14.999185,4721,0,928,ABC
5,2.216395,75836,1,928,ABC
6,2.849505,392487,1,928,ABC
7,4.315935,6941728,0,928,ABC
7,8.11663,497186,0,928,ABC
2,2.89011,97,1,929,CBA
3,1.10205,582,1,929,CBA
4,1.772965,7286,1,929,CBA
5,2.455545,42731,1,929,CBA
6,3.208435,392487,1,929,CBA
7,3.694535,6917428,1,929,CBA
8,4.72951,3189647,0,929,CBA
8,5.514545,58132647,1,929,CBA
9,6.41735,27586914,0,929,CBA
9,3.760515,NA,0,929,CBA
2,7.562,97,1,930,CAB
3,2.5169,582,1,930,CAB
4,3.0821,7286,1,930,CAB
5,4.9158,42731,1,930,CAB
6,5.4992,392487,1,930,CAB
7,7.5836,6917428,1,930,CAB
8,8.5491,38296174,1,930,CAB
9,14.5464,275863194,1,930,CAB
2,2.3585,97,1,931,BAC
3,1.7611,582,1,931,BAC
4,2.3626,7286,1,931,BAC
5,3.194,42731,1,931,BAC
6,3.443,392487,1,931,BAC
7,4.4094,6914728,0,931,BAC
7,6.419,417936,0,931,BAC
2,2.55108,97,1,932,BCA
3,1.431555,582,1,932,BCA
4,1.69949,7286,1,932,BCA
5,3.4606,42731,1,932,BCA
6,4.36894,394827,0,932,BCA
6,6.14224,619473,1,932,BCA
7,7.09903,6197428,0,932,BCA
7,6.35271,4971386,0,932,BCA
2,2.1491,97,1,936,CAB
3,0.89864,582,1,936,CAB
4,2.166745,7286,1,936,CAB
5,4.263905,428731,0,936,CAB
5,5.197605,75836,1,936,CAB
6,2.28306,392487,1,936,CAB
7,12.143755,69183428,0,936,CAB
7,9.661225,7431986,0,936,CAB
2,5.080805,97,1,938,BCA
3,1.94948,582,1,938,BCA
4,4.649895,7286,1,938,BCA
5,3.332925,42731,1,938,BCA
6,6.633265,392487,1,938,BCA
7,5.29998,6917428,1,938,BCA
8,7.883385,38296174,1,938,BCA
9,3.233925,NA,0,938,BCA
9,6.333125,NA,0,938,BCA
2,3.93221,97,1,940,ABC
3,1.983585,582,1,940,ABC
4,9.80032,7826,0,940,ABC
4,3.59983,6439,1,940,ABC
5,3.633305,42731,1,940,ABC
6,10.850335,439287,0,940,ABC
6,14.666485,64,0,940,ABC
2,1.99828,97,1,941,CBA
3,1.6166,582,1,941,CBA
4,2.048935,7286,1,941,CBA
5,3.299025,427831,0,941,CBA
5,2.599635,75836,1,941,CBA
6,4.86551,392487,1,941,CBA
7,6.04898,691428,0,941,CBA
7,6.247575,4179836,0,941,CBA
2,1.695695,97,1,942,CAB
3,1.166085,582,1,942,CAB
4,1.465865,7286,1,942,CAB
5,5.29878,42731,1,942,CAB
6,2.16643,392487,1,942,CAB
7,3.600105,6917428,1,942,CAB
8,7.7833,38296174,1,942,CAB
9,9.348935,27586394,0,942,CAB
9,14.533005,7134258,0,942,CAB
2,3.16605,97,1,943,BAC
3,1.251155,582,1,943,BAC
4,2.41945,7286,1,943,BAC
5,2.133575,42731,1,943,BAC
6,3.382645,392487,1,943,BAC
7,3.0519,6917428,1,943,BAC
8,4.981205,32896174,0,943,BAC
8,5.26625,58134627,0,943,BAC
2,2.59943,97,1,945,ACB
3,1.93353,582,1,945,ACB
4,2.048775,7286,1,945,ACB
5,2.182735,42731,1,945,ACB
6,3.449495,392487,1,945,ACB
7,7.701075,6917428,1,945,ACB
8,8.083025,32897146,0,945,ACB
8,4.816455,51832647,0,945,ACB
2,2.5954,97,1,947,CBA
3,1.7146,582,1,947,CBA
4,2.797,7286,1,947,CBA
5,2.8966,42731,1,947,CBA
6,4.5455,394287,0,947,CBA
6,5.8272,619473,1,947,CBA
7,13.486,6941728,0,947,CBA
7,4.4617000000000004,4179386,1,947,CBA
8,4.2626,38296174,1,947,CBA
9,9.541,28716934,0,947,CBA
9,9.3394,713942568,1,947,CBA
2,2.965355,97,1,948,CAB
3,1.799925,582,1,948,CAB
4,4.00015,7286,1,948,CAB
5,2.567045,42731,1,948,CAB
6,4.66638,392487,1,948,CAB
7,5.566805,6917428,1,948,CAB
8,8.53516,38296714,0,948,CAB
8,6.633755,58132647,1,948,CAB
9,9.950455,275463194,0,948,CAB
9,6.10028,71394568,0,948,CAB
2,2.35098,97,1,949,BAC
3,1.017615,582,1,949,BAC
4,1.851185,7286,1,949,BAC
5,2.266895,42731,1,949,BAC
6,3.31788,329487,0,949,BAC
6,5.135475,619473,1,949,BAC
7,4.61854,6017428,0,949,BAC
7,3.551025,4179386,1,949,BAC
8,3.966395,32986174,0,949,BAC
8,7.120495,58132647,1,949,BAC
9,7.053745,275863194,1,949,BAC
2,2.12337,97,1,950,BCA
3,0.73537,582,1,950,BCA
4,2.725215,7286,1,950,BCA
5,3.161095,42731,1,950,BCA
6,15.568045,392487,1,950,BCA
7,9.095035,6917428,1,950,BCA
8,5.50054,38296174,1,950,BCA
9,1.75593,NA,0,950,BCA
9,14.31379,71394258,0,950,BCA
2,2.82909,97,1,951,ACB
3,2.49701,582,1,951,ACB
4,3.095005,7286,1,951,ACB
5,3.04908,42731,1,951,ACB
6,3.66199,392487,1,951,ACB
7,6.926695,69417218,0,951,ACB
7,6.44303,41793,0,951,ACB
2,2.81408,97,1,952,ABC
3,1.520485,582,1,952,ABC
4,7.397615,7286,1,952,ABC
5,3.4982,42731,1,952,ABC
6,5.348495,392487,1,952,ABC
7,5.28069,6917428,1,952,ABC
8,12.916075,38296174,1,952,ABC
9,27.25942,275813694,0,952,ABC
9,12.312385,713942568,1,952,ABC
2,1.91327,97,1,953,CBA
3,1.581965,582,1,953,CBA
4,2.3495,7286,1,953,CBA
5,2.56626,42731,1,953,CBA
6,3.73149,392487,1,953,CBA
7,3.94823,6917428,1,953,CBA
8,4.632625,3829174,0,953,CBA
8,9.982055,58131647,0,953,CBA
2,2.1599,97,1,954,CAB
3,1.5135,582,1,954,CAB
4,2.9652,7286,1,954,CAB
5,3.2319,42731,1,954,CAB
6,3.7305,392487,1,954,CAB
7,7.8465,6971428,0,954,CAB
7,5.9298,4179386,1,954,CAB
8,5.1975,38296174,1,954,CAB
9,6.3311,2758631974,0,954,CAB
9,7.1139,713942568,1,954,CAB
2,2.35272,97,1,956,BCA
3,2.186325,582,1,956,BCA
4,2.68517,7286,1,956,BCA
5,5.274635,42731,1,956,BCA
6,4.95716,392487,1,956,BCA
7,5.85831,6914278,0,956,BCA
7,14.92244,49218736,0,956,BCA
2,1.949015,97,1,957,ACB
3,1.44336,582,1,957,ACB
4,1.96623,7286,1,957,ACB
5,3.17279,42731,1,957,ACB
6,7.50788,439287,0,957,ACB
6,4.25822,619473,1,957,ACB
7,6.09113,6917428,1,957,ACB
8,8.34132,38692174,0,957,ACB
8,5.116545,58132647,1,957,ACB
9,10.12485,275867194,0,957,ACB
9,7.23321,713942568,1,957,ACB
2,2.39844,97,1,959,CBA
3,1.533235,582,1,959,CBA
4,2.14956,7286,1,959,CBA
5,2.365915,42731,1,959,CBA
6,2.866085,392487,1,959,CBA
7,8.1485,69127428,0,959,CBA
7,4.882415,4179386,1,959,CBA
8,5.06587,3928674,0,959,CBA
8,10.948365,5182347,0,959,CBA
2,2.11633,97,1,960,CAB
3,2.199725,582,1,960,CAB
4,1.650965,7286,1,960,CAB
5,2.91644,42731,1,960,CAB
6,5.09929,392487,1,960,CAB
7,5.120285,6917428,1,960,CAB
8,5.48322,38296174,1,960,CAB
9,15.38238,27563194,0,960,CAB
9,8.350555,713942568,1,960,CAB
2,2.1004,97,1,961,BAC
3,1.281355,582,1,961,BAC
4,1.331855,7286,1,961,BAC
5,1.31673,42731,1,961,BAC
6,2.35,392487,1,961,BAC
7,2.699895,6917428,1,961,BAC
8,4.25019,3829174,0,961,BAC
8,6.251635,58132647,1,961,BAC
9,6.983225,2758932194,0,961,BAC
9,7.98383,71394279568,0,961,BAC
2,2.029435,97,1,963,ACB
3,2.06478,582,1,963,ACB
4,2.514285,7286,1,963,ACB
5,3.380655,42731,1,963,ACB
6,3.46717,392487,1,963,ACB
7,5.695785,6912748,0,963,ACB
7,5.484785,4173986,0,963,ACB
2,3.5458,97,1,964,ABC
3,2.3539,582,1,964,ABC
4,3.5318,7286,1,964,ABC
5,3.9362,42731,1,964,ABC
6,3.7316,392487,1,964,ABC
7,6.8654,697428,0,964,ABC
7,5.8318,4971386,0,964,ABC
2,5.05002,97,1,965,CBA
3,2.43165,582,1,965,CBA
4,3.747655,7286,1,965,CBA
5,2.148445,42731,1,965,CBA
6,4.09748,394287,0,965,CBA
6,4.447445,619473,1,965,CBA
7,6.23002,691428,0,965,CBA
7,8.34044,417936,0,965,CBA
2,3.035005,97,1,968,BCA
3,1.684295,582,1,968,BCA
4,2.668055,7286,1,968,BCA
5,2.635805,42731,1,968,BCA
6,4.27842,392487,1,968,BCA
7,3.82099,6917428,1,968,BCA
8,6.23875,38296174,1,968,BCA
9,8.247435,27586314,0,968,BCA
9,9.09743,71394568,0,968,BCA
2,3.57816,97,1,969,ACB
3,0.449215,2,0,969,ACB
3,2.94636,694,1,969,ACB
4,3.146775,7286,1,969,ACB
5,2.880285,42731,1,969,ACB
6,6.577235,392487,1,969,ACB
7,6.326825,6917428,1,969,ACB
8,9.02426,3946724,0,969,ACB
8,7.34269,53167247,0,969,ACB
2,2.865545,97,1,971,CBA
3,1.482785,582,1,971,CBA
4,2.64937,7286,1,971,CBA
5,4.165395,42731,1,971,CBA
6,4.11505,392487,1,971,CBA
7,4.882315,6917428,1,971,CBA
8,6.56522,38296714,0,971,CBA
8,4.76573,5834267,0,971,CBA
2,2.64559,97,1,974,BCA
3,1.5318,582,1,974,BCA
4,2.29774,7286,1,974,BCA
5,3.28029,42731,1,974,BCA
6,5.078685,392487,1,974,BCA
7,8.4749,6917428,1,974,BCA
8,5.24485,38296174,1,974,BCA
9,6.210525,275863194,1,974,BCA
2,2.56561,97,1,976,ABC
3,1.033225,582,1,976,ABC
4,5.099955,7826,0,976,ABC
4,3.582915,6439,1,976,ABC
5,4.03304,42731,1,976,ABC
6,8.184315,392487,1,976,ABC
7,8.71668,6947428,0,976,ABC
7,6.13219,4279386,0,976,ABC
2,2.64886,97,1,977,CBA
3,2.682355,582,1,977,CBA
4,3.23806,7286,1,977,CBA
5,4.68353,42731,1,977,CBA
6,6.00083,394287,0,977,CBA
6,7.2164,619473,1,977,CBA
7,18.97983,691748,0,977,CBA
7,25.368785,4190848,0,977,CBA
2,1.164595,NA,0,979,BAC
2,1.648345,NA,0,979,BAC
2,2.183945,97,1,980,BCA
3,1.717705,582,1,980,BCA
4,2.34843,7286,1,980,BCA
5,3.28375,42731,1,980,BCA
6,3.64999,394287,0,980,BCA
6,5.817895,619473,1,980,BCA
7,7.732545,6947428,0,980,BCA
7,5.80063,4179386,1,980,BCA
8,6.73182,38926174,0,980,BCA
8,6.231425,6813247,0,980,BCA
2,1.817515,97,1,982,ABC
3,0.99965,582,1,982,ABC
4,1.331535,7286,1,982,ABC
5,1.61648,42731,1,982,ABC
6,2.30165,392487,1,982,ABC
7,4.116465,6917428,1,982,ABC
8,3.9154,38296174,1,982,ABC
9,3.46655,275863194,1,982,ABC
2,2.423205,97,1,983,CBA
3,2.024835,582,1,983,CBA
4,2.943925,7286,1,983,CBA
5,3.720435,42731,1,983,CBA
6,3.602855,392487,1,983,CBA
7,4.085075,6917248,0,983,CBA
7,5.74654,41273986,0,983,CBA
2,1.74301,97,1,984,CAB
3,1.364395,582,1,984,CAB
4,1.929675,7286,1,984,CAB
5,1.780815,42731,1,984,CAB
6,4.24492,392847,0,984,CAB
6,2.92983,619473,1,984,CAB
7,3.345655,6917428,1,984,CAB
8,3.06254,38296174,1,984,CAB
9,4.07816,275863194,1,984,CAB
2,3.22947,97,1,986,BCA
3,1.28174,582,1,986,BCA
4,1.46524,7286,1,986,BCA
5,1.398735,42731,1,986,BCA
6,3.197475,392487,1,986,BCA
7,4.16403,6914728,0,986,BCA
7,13.874685,4179386,1,986,BCA
8,9.277775,38296174,1,986,BCA
9,7.44524,275863194,1,986,BCA
2,3.031025,97,1,988,ABC
3,2.599075,582,1,988,ABC
4,9.24817,7286,1,988,ABC
5,3.216,42731,1,988,ABC
6,7.46527,392487,1,988,ABC
7,5.46553,6914278,0,988,ABC
7,15.731015,4179386,1,988,ABC
8,7.6486,38296,0,988,ABC
8,8.615605,58213647,0,988,ABC
2,2.1156,97,1,989,CBA
3,1.583415,582,1,989,CBA
4,2.58356,7286,1,989,CBA
5,2.449645,42731,1,989,CBA
6,3.532745,392487,1,989,CBA
7,11.032095,6912748,0,989,CBA
7,13.81514,4197386,0,989,CBA
2,2.279655,97,1,990,CAB
3,1.048655,582,1,990,CAB
4,1.748845,7286,1,990,CAB
5,3.09825,42731,1,990,CAB
6,7.91045,39482397,0,990,CAB
6,4.946875,6197463,0,990,CAB
2,2.799535,97,1,991,BAC
3,2.11691,582,1,991,BAC
4,2.73391,7286,1,991,BAC
5,2.9506,42731,1,991,BAC
6,3.80215,392487,1,991,BAC
7,3.435635,6917428,1,991,BAC
8,4.301675,38296174,1,991,BAC
9,6.03535,275863194,1,991,BAC
2,1.832165,97,1,992,BCA
3,0.999295,582,1,992,BCA
4,1.78228,7286,1,992,BCA
5,1.332735,42731,1,992,BCA
6,2.365785,392487,1,992,BCA
7,2.749115,6917428,1,992,BCA
8,3.93142,38296174,1,992,BCA
9,4.43146,275863194,1,992,BCA
2,2.39682,97,1,9935,ACB
3,1.599085,582,1,9935,ACB
4,2.316085,7286,1,9935,ACB
5,3.03123,42731,1,9935,ACB
6,4.09885,392487,1,9935,ACB
7,10.78174,6917428,1,9935,ACB
8,5.881985,38296174,1,9935,ACB
9,8.01571,275863914,0,9935,ACB
9,8.14888,713942568,1,9935,ACB
2,2.605175,97,1,994,ABC
3,2.74322,582,1,994,ABC
4,1.816405,7286,1,994,ABC
5,2.50477,42731,1,994,ABC
6,3.384315,392487,1,994,ABC
7,4.20128,6917428,1,994,ABC
8,14.339925,38291764,0,994,ABC
8,10.087455,58132467,0,994,ABC
2,3.415045,97,1,995,CBA
3,3.415765,582,1,995,CBA
4,2.18215,7286,1,995,CBA
5,2.601015,42731,1,995,CBA
6,3.934515,392487,1,995,CBA
7,4.948515,6917428,1,995,CBA
8,6.43303,38296174,1,995,CBA
9,9.749935,267863194,0,995,CBA
9,11.182605,713942678,0,995,CBA
2,1.866645,97,1,996,CAB
3,1.16647,582,1,996,CAB
4,1.59996,7286,1,996,CAB
5,1.881875,42731,1,996,CAB
6,3.28365,394287,0,996,CAB
6,7.24966,619473,1,996,CAB
7,8.832875,6194728,0,996,CAB
7,7.23236,4179386,1,996,CAB
8,15.566445,38291674,0,996,CAB
8,5.76576,51832467,0,996,CAB
2,1.96491,97,1,997,BAC
3,1.319625,582,1,997,BAC
4,1.29857,7286,1,997,BAC
5,3.83343,42731,1,997,BAC
6,3.91643,392487,1,997,BAC
7,3.16668,6917428,1,997,BAC
8,4.23646,38296174,1,997,BAC
9,3.798695,275863291,0,997,BAC
9,5.847165,713942568,1,997,BAC
2,2.331525,97,1,998,BCA
3,1.366025,582,1,998,BCA
4,1.949625,7286,1,998,BCA
5,2.149585,42731,1,998,BCA
6,2.84981,392487,1,998,BCA
7,2.86636,6917428,1,998,BCA
8,4.166585,38296174,1,998,BCA
9,9.80152,29876354,0,998,BCA
9,10.284905,7924368,0,998,BCA
2,2.6916350000000002,97,1,999,ACB
3,2.050565,582,1,999,ACB
4,2.599065,7286,1,999,ACB
5,3.017185,42731,1,999,ACB
6,4.74407,392487,1,999,ACB
7,4.859315,6914728,0,999,ACB
7,5.04368,417936,0,999,ACB
